,real,stable,neutstab,logT,low_step,high_step,Times
0,2.1592276,2.1586566,2.1586692,2.1592097,2.1586425,2.1586494,2000-01-01 01:00:00
1,1.91125,1.6085314,1.6270783,1.9719131,1.6562499,1.6608521,2000-01-01 01:05:00
2,1.8400979,1.5926805,1.658267,1.9729835,1.6942928,1.6945823,2000-01-01 01:10:00
3,2.00938,1.6374246,1.9705607,1.9323487,1.9291216,1.9690926,2000-01-01 01:15:00
4,2.1867614,2.7106671,3.656702,1.9014871,3.7640676,3.6400023,2000-01-01 01:20:00
5,2.9534142,2.9638515,5.204072,1.9507111,5.1942883,5.195138,2000-01-01 01:25:00
6,3.942844,3.1643164,5.9551,2.5139236,5.522323,5.8168077,2000-01-01 01:30:00
7,4.5762877,3.2941437,7.064767,4.20356,4.5521398,6.3292665,2000-01-01 01:35:00
8,4.4996142,3.1800864,6.468307,3.9796355,4.0748315,5.373621,2000-01-01 01:40:00
9,4.8610024,3.2606082,5.6613894,3.804138,3.9641316,5.436364,2000-01-01 01:45:00
10,5.0705156,3.2347503,5.293942,4.193203,3.9686959,5.308415,2000-01-01 01:50:00
11,4.882057,3.0530174,5.537883,4.3396845,4.0648293,5.6217875,2000-01-01 01:55:00
12,4.997108,3.7091367,5.4734273,4.371293,3.6753078,5.61853,2000-01-01 02:00:00
13,4.779773,4.6207385,5.489044,4.5943174,3.5656128,4.526878,2000-01-01 02:05:00
14,4.832195,4.6819882,5.6749334,4.6072717,3.2844558,4.8863654,2000-01-01 02:10:00
15,4.742278,3.9918954,5.237979,6.1857615,3.4659014,4.7845473,2000-01-01 02:15:00
16,4.82552,3.6055784,5.2323065,5.933369,3.870352,5.7668123,2000-01-01 02:20:00
17,4.669121,4.057485,5.2326946,5.7522964,3.3831663,4.9616075,2000-01-01 02:25:00
18,5.944112,3.7220163,4.859964,6.2878118,3.871624,4.274549,2000-01-01 02:30:00
19,5.1509895,3.7887876,5.335842,6.5360546,3.4434605,4.823159,2000-01-01 02:35:00
20,4.9626637,4.0257545,5.8124914,6.9545918,3.807109,6.5358734,2000-01-01 02:40:00
21,4.862261,3.5263484,5.0813475,7.238292,3.452878,5.9590397,2000-01-01 02:45:00
22,5.144489,3.5076177,5.9358215,6.778643,3.999121,5.2983294,2000-01-01 02:50:00
23,5.3179975,3.6534348,5.858865,7.736372,3.670988,4.8602858,2000-01-01 02:55:00
24,5.0003347,3.7922785,5.1537223,7.442852,4.241817,4.6420393,2000-01-01 03:00:00
25,4.9562783,3.909624,5.700809,6.3889713,3.518879,4.835016,2000-01-01 03:05:00
26,5.3065176,3.5993145,5.2443657,7.311173,3.891544,4.437781,2000-01-01 03:10:00
27,5.380597,3.3744423,5.135415,6.422451,4.1507325,5.2451763,2000-01-01 03:15:00
28,5.147879,3.618748,5.058681,6.983508,4.4900413,4.8114443,2000-01-01 03:20:00
29,5.204461,3.2628093,5.036944,6.2559037,4.5966873,5.027493,2000-01-01 03:25:00
30,5.3284698,3.546957,4.963972,6.5774446,4.6048417,4.261956,2000-01-01 03:30:00
31,5.8458924,3.502177,5.693369,6.6113634,4.145424,5.181957,2000-01-01 03:35:00
32,5.3675175,3.487532,5.306198,6.1895103,3.9295487,5.2025366,2000-01-01 03:40:00
33,4.81473,3.2466974,5.816622,6.193252,3.63425,4.420883,2000-01-01 03:45:00
34,5.2058144,3.4172,5.071565,6.2723627,3.4904428,5.0680647,2000-01-01 03:50:00
35,5.791927,3.45529,5.2915254,6.320783,3.8705015,4.902619,2000-01-01 03:55:00
36,5.281507,4.1589804,4.6126847,6.071886,3.816219,4.7760973,2000-01-01 04:00:00
37,5.249738,3.4111867,5.4652205,5.6166816,3.859438,3.9330254,2000-01-01 04:05:00
38,5.291727,3.4584994,5.3604736,6.420724,3.59292,4.7041507,2000-01-01 04:10:00
39,5.039409,3.7376046,5.209955,6.2440395,3.8261545,4.0495677,2000-01-01 04:15:00
40,5.0949025,3.391979,4.3034415,5.879503,3.5872388,5.290635,2000-01-01 04:20:00
41,5.2209363,3.6027985,4.9585342,5.6332397,3.8940604,4.3375387,2000-01-01 04:25:00
42,5.1541185,3.6355639,4.69793,6.049718,4.261564,4.4746013,2000-01-01 04:30:00
43,5.130993,3.3295934,5.186145,6.8187623,3.6635838,5.0433397,2000-01-01 04:35:00
44,5.790195,3.4613223,4.6452208,8.073349,3.851542,4.475736,2000-01-01 04:40:00
45,5.3155885,3.7898521,5.1417527,7.998045,3.7159705,4.340612,2000-01-01 04:45:00
46,5.14154,3.5969276,4.5169144,6.885406,3.7307975,4.0126805,2000-01-01 04:50:00
47,4.722738,3.644999,4.5347013,6.323921,3.7774308,4.255152,2000-01-01 04:55:00
48,5.4210443,3.8614166,4.81683,6.1380124,3.3335922,4.123982,2000-01-01 05:00:00
