,Edmn,Edsum,Edstd,Ed25,Ed50,Ed75,Ekmn,Epmn,Times
0,70799.39,108704600000.0,59901.14309426824,15849.640625,57828.77734375,130886.25,35.875237,70763.5,2000-01-01 01:00:00
1,70011.66,107364860000.0,59506.54901773417,15685.5009765625,56819.734375,129151.3203125,35.753307,69975.94,2000-01-01 01:05:00
2,68391.13,104860080000.0,58145.11171199175,15344.808637152777,55468.21875,125383.1484375,35.566967,68355.57,2000-01-01 01:10:00
3,91253.37,123197776000.0,78606.78362584236,18718.383949393658,68662.578125,164377.375,34.440758,91218.95,2000-01-01 01:15:00
4,79435.22,112041755000.0,68146.72922451964,17436.615234375,61434.28125,144876.890625,35.112823,79400.09,2000-01-01 01:20:00
5,88285.055,119219710000.0,76127.48885914995,18058.596023787315,66424.24899839744,159342.5,34.78006,88250.27,2000-01-01 01:25:00
6,87053.37,117519565000.0,75044.5474101883,17787.224609375,65520.50390625,157244.265625,34.634193,87018.73,2000-01-01 01:30:00
7,97465.39,125706390000.0,84394.36872208951,18379.162109375,71160.5,174011.53125,33.868004,97431.53,2000-01-01 01:35:00
8,94934.43,122364460000.0,82170.64156984536,17880.103515625,69346.4375,169631.546875,33.981094,94900.48,2000-01-01 01:40:00
9,111150.414,136690660000.0,96756.45962931881,19085.121152935608,78534.46875,196102.75,33.769527,111116.664,2000-01-01 01:45:00
10,110144.766,135414670000.0,95866.25884011538,18896.595080389492,77891.2734375,194451.703125,34.37215,110110.37,2000-01-01 01:50:00
11,110455.42,135916970000.0,96280.15654328778,18956.993024553572,78150.97736378205,194962.109375,34.5743,110420.85,2000-01-01 01:55:00
12,227857.02,240318000000.0,202053.5444282035,38633.083813048244,172189.62571022726,384602.78125,31.016602,227826.02,2000-01-01 02:00:00
13,226902.52,239344520000.0,201275.06512233452,38428.86883223684,171250.2792119565,382958.25,31.030462,226871.48,2000-01-01 02:05:00
14,214799.11,226377020000.0,190343.9083763912,36625.203125,162591.95738636365,362894.875,31.367886,214767.67,2000-01-01 02:10:00
15,125629.3,147067100000.0,110089.9065309804,19329.355865036232,85628.8298828125,218939.421875,34.05013,125595.25,2000-01-01 02:15:00
16,125643.85,146974380000.0,110024.70704346366,19325.682700892856,85689.5828125,219133.89877717392,34.1993,125609.625,2000-01-01 02:20:00
17,154988.22,172356400000.0,136610.99457949935,21441.156569602274,105730.46807065218,266241.96875,32.703724,154955.55,2000-01-01 02:25:00
18,102717.3,126195840000.0,89500.71070108884,17670.890625,73124.27734375,181547.4502840909,35.949955,102681.35,2000-01-01 02:30:00
19,102833.94,126424050000.0,89783.87703814087,17758.093575093284,73355.57894736843,181380.828125,36.70551,102797.195,2000-01-01 02:35:00
20,125793.0,147277250000.0,110540.65474747289,19511.853515625,86174.0296875,218484.31994047618,35.813976,125757.21,2000-01-01 02:40:00
21,152967.39,170054120000.0,135040.85686931937,21392.83068181818,104594.89300271739,261757.99147727274,34.28307,152933.1,2000-01-01 02:45:00
22,98383.41,120918426000.0,85939.51063393368,17204.28334673713,70392.85817307692,172536.71306818182,36.43293,98346.99,2000-01-01 02:50:00
23,114335.414,133736890000.0,100564.78461171186,17777.662901947464,78050.02043269231,197963.8885869565,33.75248,114301.65,2000-01-01 02:55:00
24,134569.48,149550320000.0,119392.97774994977,18782.559659090908,91441.83167613637,229613.46875,30.596172,134538.89,2000-01-01 03:00:00
