,Edmn,Edsum,Edstd,Ed25,Ed50,Ed75,Ekmn,Epmn,Times
0,93235.914,139029950000.0,79934.42112131669,22055.369140625,74034.109375,170259.71875,35.515095,93200.414,2000-01-01 01:00:00
1,90696.61,135247540000.0,77773.12152665599,21423.712890625,71993.875,165551.859375,35.405178,90661.21,2000-01-01 01:05:00
2,89872.71,134010950000.0,77083.06501430778,21242.732421875,71355.7734375,164085.359375,35.230587,89837.484,2000-01-01 01:10:00
3,89231.17,133067000000.0,76571.58365869155,21085.1953125,70851.609375,162940.125,35.281895,89195.92,2000-01-01 01:15:00
4,129579.04,168665240000.0,112597.90122377948,24828.751953125,94885.8125,229440.359375,34.188282,129544.87,2000-01-01 01:20:00
5,128424.21,167167480000.0,111625.06843894879,24593.033203125,94042.671875,227444.5,34.318363,128389.875,2000-01-01 01:25:00
6,128325.46,166999210000.0,111513.80183636463,24564.109375,93982.3203125,227343.234375,34.214508,128291.26,2000-01-01 01:30:00
7,125274.11,162947480000.0,108781.02422757381,23978.350040211397,91763.6015625,221992.046875,33.945927,125240.13,2000-01-01 01:35:00
8,147138.12,182272050000.0,128320.74214249231,25678.826171875,104239.4375,257696.671875,33.231632,147104.86,2000-01-01 01:40:00
9,145638.08,180385640000.0,127026.56251351527,25406.210427989132,103189.8046875,255144.03125,33.639446,145604.38,2000-01-01 01:45:00
10,145942.9,180738470000.0,127290.19594611361,25443.685546875,103417.0234375,255757.796875,34.30392,145908.58,2000-01-01 01:50:00
11,144471.2,178959170000.0,126100.51000689887,25170.906570662315,102362.421875,253207.375,34.534367,144436.62,2000-01-01 01:55:00
12,142916.55,176938020000.0,124661.44513842282,24885.65625,101283.5546875,250607.640625,34.28512,142882.31,2000-01-01 02:00:00
13,298128.94,315535820000.0,264115.7099151809,50069.10607489224,225245.18342391305,500656.0625,30.76521,298098.2,2000-01-01 02:05:00
14,214828.36,240012380000.0,189259.73044469868,29499.526123046875,146417.6875,366554.21875,32.21456,214796.12,2000-01-01 02:10:00
15,214934.16,240112500000.0,189431.3187200047,29497.14453125,146705.0340909091,366785.0625,32.508476,214901.67,2000-01-01 02:15:00
16,170262.19,200392470000.0,149345.78614745045,26552.350654709506,116158.5078125,294838.5,34.068707,170228.14,2000-01-01 02:20:00
17,207358.11,231589400000.0,182723.457760628,28442.56640625,141711.29279891305,354012.1875,32.375736,207325.8,2000-01-01 02:25:00
