,Edmn,Edsum,Edstd,Ed25,Ed50,Ed75,Ekmn,Epmn,Times
0,153220.06,751381050000.0,139230.05468647924,26574.88671875,110895.859375,274199.875,40.869766,153179.16,2000-01-01 01:00:00
1,144119.98,633428100000.0,131035.02994237839,25290.177734375,102392.1171875,259201.13020833334,40.75476,144079.23,2000-01-01 01:05:00
2,138943.45,593078500000.0,126370.34183699908,24515.71484375,97849.546875,250437.40625,40.646633,138902.81,2000-01-01 01:10:00
3,134231.88,556098300000.0,122124.57796856454,23861.845703125,91130.390625,242228.6875,40.573833,134191.31,2000-01-01 01:15:00
4,128972.77,518227900000.0,117377.97599209147,23121.225279017857,85081.86875,233025.96875,40.503677,128932.31,2000-01-01 01:20:00
5,125477.49,488677340000.0,114229.22974440474,22733.083984375,81591.8125,226944.9375,40.443752,125437.086,2000-01-01 01:25:00
6,124396.055,469247200000.0,113273.13425521516,22846.83610983456,81484.22235576923,224932.69270833334,40.375767,124355.71,2000-01-01 01:30:00
7,128178.516,437103760000.0,116738.20173362274,24674.08154296875,86455.02566964286,223439.71484375,39.969814,128138.555,2000-01-01 01:35:00
8,133394.11,379009960000.0,121407.58249796426,25159.701171875,97146.30588942308,237408.609375,38.919434,133355.19,2000-01-01 01:40:00
9,129585.78,368186850000.0,117942.37616734707,24440.427734375,94375.35825892857,230560.05729166666,38.951393,129546.805,2000-01-01 01:45:00
10,127427.84,362078670000.0,115979.90667352686,24030.87109375,92800.57142857143,226422.2578125,38.995956,127388.85,2000-01-01 01:50:00
11,130322.26,303167900000.0,118404.49721188803,21655.071991502195,102987.93415178571,230487.871875,37.38221,130284.85,2000-01-01 01:55:00
12,129010.68,287737000000.0,117156.81607145186,20998.34880514706,96642.77083333333,231189.590625,36.988716,128973.73,2000-01-01 02:00:00
13,128016.625,273512460000.0,116188.06492923445,20095.99774050245,92487.1240234375,235231.921875,36.691135,127979.93,2000-01-01 02:05:00
14,127636.42,261009570000.0,115767.56630421148,19018.805149147727,95994.126953125,234817.64375,36.27234,127600.11,2000-01-01 02:10:00
15,129638.93,242302800000.0,117445.73283010328,18110.677916061046,106739.79375,237012.734375,35.319763,129603.56,2000-01-01 02:15:00
16,128155.44,239528410000.0,116110.90091804473,17939.85074491279,105548.325,234293.5625,35.257675,128120.16,2000-01-01 02:20:00
17,228164.62,126984000000.0,201872.3341520576,45064.03515625,140409.109375,342014.6875,15.129643,228149.42,2000-01-01 02:25:00
18,228752.19,127308570000.0,202397.5082850577,45163.95703125,140743.671875,343068.47039473685,14.996235,228737.16,2000-01-01 02:30:00
19,229703.44,127821630000.0,203226.0720281726,45331.796875,141314.05058262713,344467.8930921053,14.922231,229688.48,2000-01-01 02:35:00
20,145765.53,154344620000.0,130993.85952020805,24918.595086348683,103443.40930706522,246390.796875,29.053263,145736.45,2000-01-01 02:40:00
21,147058.64,155715440000.0,132196.20230551253,25118.390625,104200.96377840909,248555.953125,29.018618,147029.62,2000-01-01 02:45:00
22,139523.08,156599100000.0,125563.49023502014,19339.46484375,91678.5234375,238694.640625,29.801966,139493.28,2000-01-01 02:50:00
23,141451.5,158773770000.0,127304.95694983758,19595.643128301057,92931.7734375,242020.828125,29.832129,141421.64,2000-01-01 02:55:00
24,140952.66,158208230000.0,126848.83955322571,19524.916748046875,92606.8125,241202.9375,29.929783,140922.66,2000-01-01 03:00:00
25,140951.28,158216650000.0,126847.2129138043,19508.270941840277,92596.078125,241227.21875,30.105566,140921.2,2000-01-01 03:05:00
26,221897.88,123432040000.0,196187.372967783,43658.03125,136399.359375,332999.25986842107,14.618474,221883.28,2000-01-01 03:10:00
27,350183.53,177474650000.0,309593.26421613246,46689.875,270588.1216755319,675146.7767857143,12.521285,350171.03,2000-01-01 03:15:00
28,327891.38,166137840000.0,289795.94343606674,43668.03389721074,254197.859375,623040.7125,12.501735,327878.9,2000-01-01 03:20:00
29,316173.4,160183930000.0,279372.7630532368,42075.640625,244758.80842391305,602078.76875,12.51895,316160.78,2000-01-01 03:25:00
30,314819.9,159484690000.0,278172.84710050334,41867.624609375,243837.14527925532,594651.0394736842,12.524023,314807.34,2000-01-01 03:30:00
31,313663.66,158888120000.0,277209.12746877584,41682.659962551654,243061.4375,586872.125,12.458967,313651.16,2000-01-01 03:35:00
32,175690.3,106542870000.0,155654.60512300945,45328.8597400701,121640.95161732456,284989.4650735294,16.71522,175673.6,2000-01-01 03:40:00
33,176407.08,106984980000.0,156244.80320317857,45503.20862268518,122184.05199353448,282408.64522058825,16.71649,176390.39,2000-01-01 03:45:00
34,317143.78,160675700000.0,280195.68384969817,42140.84765625,245547.4335106383,609350.1785714285,12.298291,317131.53,2000-01-01 03:50:00
35,321352.5,162815950000.0,283978.1472155912,42722.366471354166,248573.484375,619132.0427631579,12.104402,321340.34,2000-01-01 03:55:00
36,322877.3,163590780000.0,285366.2900344047,42940.83798828125,249403.484375,622657.5756578947,11.866637,322865.53,2000-01-01 04:00:00
37,324565.44,164441770000.0,286852.4408402341,43176.902146796216,251022.07945478722,626092.4375,11.693044,324553.75,2000-01-01 04:05:00
38,324599.34,164451140000.0,286899.4724010485,43186.28668619792,251117.24700797873,623146.6875,11.592974,324587.72,2000-01-01 04:10:00
39,325525.22,164916900000.0,287748.15655360854,43313.58171735491,251893.13464095743,625922.3980263158,11.5682955,325513.7,2000-01-01 04:15:00
40,325458.47,164876800000.0,287727.7860200506,43284.033025568184,251905.765625,623793.0,11.5918255,325446.94,2000-01-01 04:20:00
41,218151.12,121274710000.0,193007.99933681506,42946.63856907895,134119.64804025425,328096.8947368421,13.780576,218137.39,2000-01-01 04:25:00
42,217129.62,120712980000.0,192210.98807300272,42714.75657894737,133429.13165983607,326676.6430921053,13.733564,217115.88,2000-01-01 04:30:00
43,168650.97,102260605000.0,149491.38302925692,43178.2984448014,117153.3426724138,272227.4705882353,16.087608,168634.84,2000-01-01 04:35:00
44,167193.52,101383460000.0,148297.21162584278,42758.4564525463,116073.81880482456,269776.30330882355,16.13376,167177.42,2000-01-01 04:40:00
45,164428.08,99713990000.0,145937.3323039722,41997.60930198598,114052.39574353448,265106.8125,16.22294,164411.84,2000-01-01 04:45:00
46,159361.05,96638910000.0,141547.49941980606,40641.73130841122,110414.7390625,256840.98529411765,16.364231,159344.72,2000-01-01 04:50:00
47,156741.88,95044990000.0,139345.00585238065,39903.54564525463,108514.05167214913,252985.130859375,16.4604,156725.44,2000-01-01 04:55:00
48,146571.3,96465780000.0,130621.04063281689,35889.39522349684,110944.57002314815,220774.04447115384,18.791859,146552.5,2000-01-01 05:00:00
