,Edmn,Edsum,Edstd,Ed25,Ed50,Ed75,Ekmn,Epmn,Times
0,142135.89,226464800000.0,124302.33902867636,28016.2578125,114580.296875,257386.421875,35.77256,142100.12,2000-01-01 01:00:00
1,138596.5,220845540000.0,121234.62158970926,27308.15234375,111706.265625,250804.546875,35.65076,138560.83,2000-01-01 01:05:00
2,137210.58,218611710000.0,120026.26272612174,27060.708984375,110604.734375,248424.484375,35.403675,137175.17,2000-01-01 01:10:00
3,135733.64,216202130000.0,118724.30827762274,26794.376953125,109431.921875,245836.453125,35.3206,135698.38,2000-01-01 01:15:00
4,134877.4,214818100000.0,117980.17243588009,26658.3359375,108752.6015625,244338.8125,35.31193,134842.08,2000-01-01 01:20:00
5,134446.34,214108620000.0,117588.44460235028,26594.21875,108410.2890625,243589.578125,35.152096,134411.14,2000-01-01 01:25:00
6,133782.25,212951840000.0,116944.19154451409,26494.856377180233,107893.0,242453.875,34.94011,133747.27,2000-01-01 01:30:00
7,204383.84,283517120000.0,180511.35614137966,43147.91015625,153570.5625,361266.5,33.47533,204350.4,2000-01-01 01:35:00
8,148624.94,226139670000.0,130275.7061619702,32535.493359375,117384.9296875,267442.1875,34.68162,148590.3,2000-01-01 01:40:00
9,149019.64,226698610000.0,130599.93114852703,32660.020442708334,117706.7109375,268213.28125,34.956844,148984.64,2000-01-01 01:45:00
10,149009.45,226671080000.0,130597.43776965917,32696.189053622158,117702.1171875,268230.9375,35.061752,148974.39,2000-01-01 01:50:00
11,167944.83,244003260000.0,147640.09341638876,37955.29296875,129578.0546875,299825.75,34.206642,167910.69,2000-01-01 01:55:00
12,166250.19,241543350000.0,146151.06617469474,37573.35546875,128264.25,296786.84375,33.777958,166216.38,2000-01-01 02:00:00
13,192822.92,267081860000.0,170027.25955563714,40651.84765625,144942.9375,341218.15625,33.064476,192789.86,2000-01-01 02:05:00
14,193404.25,268005130000.0,170643.35374107014,40772.44921875,145346.046875,342143.96875,33.094894,193371.16,2000-01-01 02:10:00
15,165834.98,240796430000.0,145733.7688801055,37454.89453125,127946.3359375,296167.375,33.902176,165801.1,2000-01-01 02:15:00
16,165176.97,239880060000.0,145196.72679506242,37302.625,127412.53125,294940.5,33.892105,165143.12,2000-01-01 02:20:00
17,165328.78,240037130000.0,145304.87892703398,37324.0078125,127532.421875,295283.90625,33.93359,165294.88,2000-01-01 02:25:00
18,164957.95,239424010000.0,144968.9922155769,37218.5859375,127255.6796875,294711.0328125,34.21391,164923.73,2000-01-01 02:30:00
19,163569.64,237425850000.0,143795.40309759558,36903.09765625,126163.1171875,292193.15625,34.456993,163535.08,2000-01-01 02:35:00
20,163769.9,237643580000.0,143954.3252007386,36926.875,126317.71875,292633.03125,34.68236,163735.25,2000-01-01 02:40:00
21,183047.36,253351700000.0,161469.2286722148,38486.50120634191,137537.21875,324156.59375,33.686207,183013.64,2000-01-01 02:45:00
22,180494.31,249951100000.0,159303.86802585804,37958.34520755597,135575.40625,319473.0625,33.47932,180460.86,2000-01-01 02:50:00
23,207954.0,274283870000.0,184248.72510820802,40345.33697150735,151657.0625,364475.90625,32.700382,207921.33,2000-01-01 02:55:00
24,171867.1,237960540000.0,151686.44712036735,36106.5546875,129071.1953125,304253.625,33.75299,171833.36,2000-01-01 03:00:00
25,198126.12,261379820000.0,175662.5127908627,38409.312040441175,144408.140625,347124.5625,32.783745,198093.33,2000-01-01 03:05:00
26,167946.52,232730740000.0,148617.88769862126,35241.37937266791,126011.08613782052,296992.15625,33.383408,167913.17,2000-01-01 03:10:00
27,165698.83,229669650000.0,146593.2818105932,34755.33203125,124274.546875,292912.96875,32.73505,165666.08,2000-01-01 03:15:00
28,164703.53,228271230000.0,145758.45795013063,34508.625,123461.25678453948,291080.40625,31.57076,164671.95,2000-01-01 03:20:00
29,192158.81,253713960000.0,170940.04038843562,37087.470818014706,139674.84375,336138.4375,29.108181,192129.69,2000-01-01 03:25:00
30,190499.19,251427210000.0,169503.08476249038,36680.156364889706,138310.97315705128,333210.7471590909,27.421059,190471.8,2000-01-01 03:30:00
31,187881.6,248032260000.0,167433.17406057857,36095.73046875,136172.91159539475,328442.57880434784,25.66839,187855.92,2000-01-01 03:35:00
32,186599.86,246290460000.0,166343.6089063839,35744.34130130597,135073.04194078947,326227.9659090909,23.889248,186575.97,2000-01-01 03:40:00
33,189089.55,249639290000.0,168766.94425153287,36127.492302389706,136708.6275337838,330467.40625,22.12293,189067.47,2000-01-01 03:45:00
34,190111.69,250930560000.0,169653.79373300204,36217.738164645525,137345.171875,332353.65,20.62491,190091.11,2000-01-01 03:50:00
