,Edmn,Edsum,Edstd,Ed25,Ed50,Ed75,Ekmn,Epmn,Times
0,1970.8038,10301898000.0,1863.8859943676812,480.5236511230469,1364.0986328125,4133.31396484375,41.023273,1929.7799,2000-01-01 01:00:00
1,2076.2136,9605398000.0,1955.304451997182,497.5412292480469,1409.5888671875,4046.336181640625,41.26414,2034.9501,2000-01-01 01:05:00
2,2156.786,9655442000.0,2025.469204900435,496.862603264886,1437.0577087402344,3861.1494140625,41.628334,2115.1572,2000-01-01 01:10:00
3,1735.6492,3034862800.0,1538.8679280562058,347.46083211898804,1227.4800537109375,2648.0654296875,37.324654,1698.3243,2000-01-01 01:15:00
4,946.8772,629936260.0,745.76164925531,254.08141375191605,799.4185791015625,1592.8432027882543,23.606327,923.27094,2000-01-01 01:20:00
5,939.80646,625012100.0,739.0890930733588,254.99094033543068,805.651869032118,1575.51611328125,23.797312,916.0093,2000-01-01 01:25:00
6,939.5173,624908540.0,737.2163861445295,259.4713363647461,833.879775168679,1569.672100360577,23.902355,915.6146,2000-01-01 01:30:00
7,931.9878,620065300.0,728.2526604826103,259.5798355295688,872.5197143554688,1532.3544500942887,23.861828,908.12604,2000-01-01 01:35:00
8,924.6796,615431000.0,722.2206856287073,263.4266052246094,881.8649735884233,1512.495624248798,23.788174,900.8916,2000-01-01 01:40:00
9,920.2224,612349440.0,718.1803829818801,265.0965576171875,882.8506774902344,1485.116001674107,23.856575,896.36584,2000-01-01 01:45:00
10,915.587,609151170.0,713.5752850961137,269.22589626559966,886.45146484375,1465.7257501010238,24.289515,891.29755,2000-01-01 01:50:00
11,913.27246,607603140.0,711.4585151293081,272.2606201171875,883.5214504665798,1481.4456197804418,24.279501,888.9928,2000-01-01 01:55:00
12,911.4106,606364540.0,709.8098997266803,268.3975675558742,884.7360717773438,1462.069268588362,24.294287,887.11633,2000-01-01 02:00:00
13,941.2644,671377700.0,723.7297708744611,208.43087889018813,969.1499833327073,1539.4129386112609,26.402878,914.86163,2000-01-01 02:05:00
14,939.598,669997000.0,722.0306001133193,208.59030271831313,963.4569702148438,1532.374072265625,26.047094,913.551,2000-01-01 02:10:00
15,906.12756,602585100.0,703.3941151658862,272.5432582855225,886.9986572265625,1453.5481462149785,23.928728,882.1988,2000-01-01 02:15:00
16,905.3451,602100100.0,702.8342621130532,262.1293342686907,883.7030029296875,1442.3433122306035,24.065779,881.27936,2000-01-01 02:20:00
17,939.2944,670034900.0,722.7713806937847,204.37444771110236,960.6667233980619,1541.4371337890625,26.37173,912.92255,2000-01-01 02:25:00
18,939.27014,670086400.0,722.6582439161682,207.76550212659333,957.4075109603557,1538.41304234096,26.312338,912.9578,2000-01-01 02:30:00
19,939.9751,670624450.0,723.0988867368003,202.3716631437603,963.5499291053185,1537.6554216657366,26.56532,913.40985,2000-01-01 02:35:00
20,940.26605,670974700.0,724.577376820447,207.71012303736302,959.0076700846354,1546.6416625976562,26.853882,913.4121,2000-01-01 02:40:00
21,940.8419,671432260.0,726.071062293492,208.30977028294615,962.0400754488431,1539.4102783203125,26.835976,914.0056,2000-01-01 02:45:00
22,940.6727,671361800.0,726.2157048701164,206.33740555612664,971.1662897073998,1532.482461111886,26.711597,913.96106,2000-01-01 02:50:00
23,939.76514,670500800.0,725.3216527858519,207.80586152918198,968.8222527137169,1531.2242736816406,26.708393,913.0568,2000-01-01 02:55:00
24,938.7015,669625660.0,723.991367351849,205.37749295621305,968.4158025777565,1529.572719029018,26.625515,912.07605,2000-01-01 03:00:00
25,967.3944,736517760.0,739.3503905456465,181.26213416624606,988.0263671875,1620.7259521484375,28.432287,938.962,2000-01-01 03:05:00
26,964.6328,734101250.0,734.6760340449388,181.2916476779514,1002.9365905761719,1616.8115234375,27.955301,936.6777,2000-01-01 03:10:00
27,933.43646,665322500.0,714.3636153948491,207.5973280721636,961.6483506422776,1522.9557571411133,25.40873,908.02783,2000-01-01 03:15:00
28,932.42017,664515300.0,712.6507735209441,207.3628720370206,968.5366590967718,1517.4627423967634,25.165054,907.25494,2000-01-01 03:20:00
29,930.8864,663327700.0,710.5578354363563,207.63051384373716,969.934326171875,1513.9711608886719,25.045574,905.84064,2000-01-01 03:25:00
30,895.4106,595043000.0,690.2003105983074,267.84526119956485,878.8444898200758,1410.8107152478449,22.958494,872.45197,2000-01-01 03:30:00
31,894.4379,594436300.0,689.8092580561673,274.32421646118166,877.457021077474,1420.359375,23.17772,871.2603,2000-01-01 03:35:00
32,929.41644,662468200.0,710.7600025676741,213.62890625,964.6460018517836,1516.0673130580358,25.724323,903.69214,2000-01-01 03:40:00
33,894.3765,594746600.0,692.1666842242554,277.2340362548828,875.011181640625,1418.5296805245537,23.708797,870.6676,2000-01-01 03:45:00
34,930.5834,663960960.0,714.1656189218296,214.145550175717,960.4416020231427,1523.3399047851562,26.407223,904.17615,2000-01-01 03:50:00
35,931.8699,665149060.0,716.6637112342162,215.4965410734478,956.3218098092586,1535.215083681304,26.81255,905.0573,2000-01-01 03:55:00
36,932.8352,665962500.0,718.528357130044,216.23301797164115,955.0283022280092,1534.16162109375,27.087587,905.7477,2000-01-01 04:00:00
37,932.61664,665780740.0,718.3682899460415,214.19197478851714,957.1461362485533,1529.1278076171875,27.106495,905.5102,2000-01-01 04:05:00
38,932.0386,665305800.0,717.4300488549388,213.56174736518363,955.5472561818249,1524.3002522786458,26.958492,905.0801,2000-01-01 04:10:00
39,930.3088,663930500.0,714.5862876518132,213.40002659388952,955.39446100199,1514.6649126325335,26.694742,903.6139,2000-01-01 04:15:00
40,928.2363,662344300.0,711.863619312014,211.23209767527393,954.4827951284556,1508.9913896833148,26.47061,901.7656,2000-01-01 04:20:00
41,927.20593,661564200.0,710.8819786012302,212.38856050565644,954.7006632486979,1503.8534633091517,26.477772,900.728,2000-01-01 04:25:00
42,926.32574,660966200.0,710.3135531228445,212.68148362009148,954.1646878224499,1503.6323939732142,26.501337,899.8242,2000-01-01 04:30:00
43,959.5515,731214850.0,730.5716083998885,182.76027550858058,993.9302124023437,1592.7587574146412,29.09926,930.45233,2000-01-01 04:35:00
44,924.7788,659923900.0,708.0327058123798,213.6207013811384,948.1363640551297,1500.4224853515625,26.411964,898.36676,2000-01-01 04:40:00
45,924.5416,659849200.0,707.4756400399946,213.66405160086495,948.6779333043982,1499.6190883091517,26.38414,898.1574,2000-01-01 04:45:00
46,924.44385,659845900.0,707.6941208954614,214.1813467954978,946.9720389887972,1506.0298482960668,26.463345,897.9802,2000-01-01 04:50:00
47,923.8943,659443840.0,707.5690778998189,213.90757229453638,944.7807398382223,1504.2782156808037,26.53642,897.35767,2000-01-01 04:55:00
48,923.36426,659016640.0,707.0668727213855,213.21897452218192,945.4169742359835,1502.643039279514,26.461834,896.9024,2000-01-01 05:00:00
