,real,stable,neutstab,logT,low_step,high_step,Times
0,6.894396,6.888271,6.8905034,6.902763,6.8968434,6.897079,2000-01-01 01:00:00
1,8.368242,9.231582,7.378714,6.3915424,8.528158,7.236181,2000-01-01 01:05:00
2,10.703659,11.754502,10.623656,10.584985,11.0016165,9.856058,2000-01-01 01:10:00
3,10.922629,12.220415,11.774031,11.30436,12.957417,10.127885,2000-01-01 01:15:00
4,11.163462,10.399654,12.175828,11.59567,13.661126,11.645006,2000-01-01 01:20:00
5,11.990156,13.008778,12.572969,11.763565,13.719551,12.9695015,2000-01-01 01:25:00
6,11.464477,12.08918,12.959488,11.937193,13.7004,15.208839,2000-01-01 01:30:00
7,11.776033,12.704214,14.675445,11.760161,14.262447,15.55242,2000-01-01 01:35:00
8,12.547243,10.962275,13.00105,11.243311,15.267116,16.067204,2000-01-01 01:40:00
9,11.442414,10.585759,12.67102,10.576043,14.532576,17.108372,2000-01-01 01:45:00
10,12.051412,10.885446,12.90089,10.301476,15.207921,16.065231,2000-01-01 01:50:00
11,11.388004,10.682476,13.211578,10.973913,14.844842,15.528516,2000-01-01 01:55:00
12,10.396017,10.070264,12.386258,10.748022,14.764887,14.985517,2000-01-01 02:00:00
13,10.197591,9.555835,13.953133,11.262334,14.345392,15.750995,2000-01-01 02:05:00
14,11.095472,9.981018,12.586917,11.07972,14.325954,14.434745,2000-01-01 02:10:00
15,12.833699,10.289406,12.940674,11.078275,12.396437,14.084419,2000-01-01 02:15:00
16,11.604228,10.492919,13.962599,11.387309,12.853731,14.282966,2000-01-01 02:20:00
17,12.158077,10.875344,13.580715,9.892061,12.726361,13.139148,2000-01-01 02:25:00
18,11.420918,10.181249,12.493154,11.261659,11.833059,12.297879,2000-01-01 02:30:00
19,10.793486,9.751255,11.815723,11.484545,11.243912,12.626806,2000-01-01 02:35:00
20,10.681142,8.550601,12.594701,11.763585,11.46569,14.039948,2000-01-01 02:40:00
21,10.71139,9.03695,11.786883,12.871472,8.885982,11.171356,2000-01-01 02:45:00
22,11.805986,8.250015,13.409516,12.276148,7.757951,11.144744,2000-01-01 02:50:00
23,12.089815,7.826486,12.287979,12.667842,9.54711,10.472074,2000-01-01 02:55:00
24,10.939469,8.055695,11.739585,13.709897,8.149852,10.611121,2000-01-01 03:00:00
25,11.302128,7.977307,11.454691,12.280957,7.6924424,10.706193,2000-01-01 03:05:00
26,12.137367,7.8194604,12.203608,12.628842,9.49441,10.93462,2000-01-01 03:10:00
27,12.442826,7.3728075,12.235589,12.606422,9.176565,10.834961,2000-01-01 03:15:00
28,13.504861,6.5193267,11.10875,12.22425,9.047765,10.295374,2000-01-01 03:20:00
29,13.907519,5.8094745,10.520116,12.450782,9.008868,9.378907,2000-01-01 03:25:00
30,13.47,5.5899725,10.886781,12.471548,8.14576,10.229202,2000-01-01 03:30:00
31,12.689628,6.062579,11.864275,12.675266,7.1155963,9.885068,2000-01-01 03:35:00
32,11.726907,6.1243863,11.21473,12.432945,8.097967,10.44034,2000-01-01 03:40:00
33,11.551762,6.0473166,12.427833,12.504887,8.478104,11.028762,2000-01-01 03:45:00
34,10.870449,5.931421,12.026161,12.516941,7.9625144,9.363244,2000-01-01 03:50:00
35,10.938545,5.555548,11.955122,12.92374,7.578543,8.72011,2000-01-01 03:55:00
36,11.362259,5.8001075,12.70011,13.6229105,6.7213254,10.190073,2000-01-01 04:00:00
37,11.1663885,5.662445,12.067456,12.114002,7.133239,8.676277,2000-01-01 04:05:00
38,11.016934,5.8443317,11.63282,14.303103,9.262583,10.886593,2000-01-01 04:10:00
39,12.672926,5.473918,10.591642,12.708448,7.6472898,9.647773,2000-01-01 04:15:00
40,13.094263,5.3000574,10.430353,12.972157,9.415038,8.939823,2000-01-01 04:20:00
41,11.838476,5.37588,13.0323,13.478921,8.505322,8.664407,2000-01-01 04:25:00
42,12.646665,5.7122793,12.076324,14.07927,9.429387,11.166021,2000-01-01 04:30:00
43,12.552922,5.350648,10.96829,13.49395,7.7200036,9.408738,2000-01-01 04:35:00
44,11.955554,5.5110598,10.368913,15.923332,7.849724,8.623454,2000-01-01 04:40:00
45,12.332781,5.240856,11.273562,14.504432,6.845717,9.069993,2000-01-01 04:45:00
46,13.3574705,5.7815847,10.602143,14.39797,6.368441,8.67782,2000-01-01 04:50:00
47,11.335266,5.6928105,12.173797,15.033764,7.1113405,8.183722,2000-01-01 04:55:00
48,11.490915,5.5275583,10.395189,14.919258,8.520002,7.8714876,2000-01-01 05:00:00
