,real,stable,neutstab,logT,low_step,high_step,Times
0,36.86667,28.876795,28.876366,39.26085,28.914175,28.91439,2000-01-01 01:00:00
1,42.056084,33.197258,32.72253,47.6366,32.71712,32.712082,2000-01-01 01:05:00
2,45.767452,36.33829,34.440224,54.01727,34.445946,34.43544,2000-01-01 01:10:00
3,47.94669,36.95083,36.281887,53.586014,36.285847,36.21318,2000-01-01 01:15:00
4,49.54128,37.442955,37.061413,54.348526,36.531,37.72259,2000-01-01 01:20:00
5,49.072826,38.183796,37.072685,55.112724,37.130077,37.08906,2000-01-01 01:25:00
6,49.397335,39.151382,35.65594,56.72602,35.806274,36.054867,2000-01-01 01:30:00
7,50.292725,40.39051,35.354855,58.372604,35.031654,34.692734,2000-01-01 01:35:00
8,50.833553,39.613007,35.041115,59.9054,35.444706,35.041447,2000-01-01 01:40:00
9,50.15485,40.412617,35.33871,60.38334,36.146454,35.442738,2000-01-01 01:45:00
10,50.61939,41.107506,35.81728,59.743298,37.1399,35.868954,2000-01-01 01:50:00
11,50.832542,41.438465,36.069286,58.8504,37.00487,36.201954,2000-01-01 01:55:00
12,50.76625,42.019176,36.081696,59.66607,37.710423,35.951054,2000-01-01 02:00:00
13,50.569393,42.220406,36.495056,59.900562,38.27104,36.857933,2000-01-01 02:05:00
14,50.999577,42.58636,36.133305,59.940693,37.729366,37.035927,2000-01-01 02:10:00
15,50.98546,43.532284,36.127007,61.922276,38.260326,37.813377,2000-01-01 02:15:00
16,51.971714,42.876183,36.542866,60.140186,38.43243,37.557167,2000-01-01 02:20:00
17,52.746338,43.14476,36.822437,61.19541,38.43311,37.645584,2000-01-01 02:25:00
18,52.60353,43.276245,36.885563,61.007744,38.557884,37.554325,2000-01-01 02:30:00
19,52.434994,44.158043,36.408485,60.801205,39.10405,38.27072,2000-01-01 02:35:00
20,52.80184,44.364292,36.991627,61.361465,39.03398,37.7836,2000-01-01 02:40:00
21,53.647182,44.594383,37.495636,60.7269,39.184933,37.545383,2000-01-01 02:45:00
22,53.40947,44.43448,37.116367,61.392242,39.20362,38.166885,2000-01-01 02:50:00
23,53.436005,44.585484,37.46473,61.25519,39.742992,38.120243,2000-01-01 02:55:00
24,53.246273,45.045547,37.552753,62.244926,39.434845,38.33834,2000-01-01 03:00:00
25,53.25131,45.25426,37.600872,61.545975,39.532475,38.790348,2000-01-01 03:05:00
26,53.5093,44.841694,37.86675,61.827972,39.31842,38.540783,2000-01-01 03:10:00
27,54.13747,45.372894,37.955482,62.016335,39.840893,38.65354,2000-01-01 03:15:00
28,54.933403,45.603813,37.729034,62.284008,40.02805,38.67131,2000-01-01 03:20:00
29,54.929405,45.67782,38.077972,62.091537,39.72261,39.072308,2000-01-01 03:25:00
30,54.688046,46.126602,37.933025,62.21501,40.11312,39.06526,2000-01-01 03:30:00
31,55.17404,46.37247,38.49536,62.061546,40.654613,39.52183,2000-01-01 03:35:00
32,55.190453,45.68276,38.36911,63.16363,40.170414,39.1048,2000-01-01 03:40:00
33,55.49373,46.14708,38.529728,63.00351,40.080273,38.71909,2000-01-01 03:45:00
34,55.403263,46.204613,38.670944,62.954987,40.3629,39.27959,2000-01-01 03:50:00
35,55.483364,46.82263,38.56936,63.24058,40.54055,39.344807,2000-01-01 03:55:00
36,55.270374,46.536495,38.626823,63.155483,40.775894,39.151344,2000-01-01 04:00:00
37,55.79727,46.821354,39.058456,63.244267,40.644867,39.781273,2000-01-01 04:05:00
38,55.541748,47.07146,39.37073,63.35001,40.677902,39.219173,2000-01-01 04:10:00
39,56.476112,47.705498,38.83751,63.251087,40.711395,39.734055,2000-01-01 04:15:00
40,55.835,47.262432,38.854454,63.52503,41.533737,40.297855,2000-01-01 04:20:00
41,55.85891,47.710114,39.117447,64.14803,41.09185,39.79707,2000-01-01 04:25:00
42,56.384308,47.62935,39.412663,64.62412,41.86698,39.69691,2000-01-01 04:30:00
43,56.659824,47.98554,39.38102,64.61519,41.63158,39.83447,2000-01-01 04:35:00
44,56.499176,48.372387,39.17943,64.443146,41.71502,40.318554,2000-01-01 04:40:00
45,56.594303,48.049732,39.2101,63.752407,41.65121,40.22418,2000-01-01 04:45:00
46,56.985718,48.171886,39.40187,63.804764,41.804707,40.021374,2000-01-01 04:50:00
47,57.090733,48.533993,39.468536,64.300026,41.987045,40.087597,2000-01-01 04:55:00
48,57.331444,48.632618,39.575264,65.658295,41.87931,40.19326,2000-01-01 05:00:00
