,real,stable,neutstab,logT,low_step,high_step,Times
0,-4.4483547,-4.4483547,-4.4483542,-4.4483547,-4.4483547,-4.4483542,2000-01-01 01:00:00
1,-6.979253,-6.066021,-6.61845,-6.6686983,-6.2435775,-6.514264,2000-01-01 01:05:00
2,-7.7471204,-4.4571934,-6.9233465,-7.562763,-5.793288,-6.7906427,2000-01-01 01:10:00
3,-7.6222754,-5.1084967,-5.847806,-7.0734572,-4.7345266,-5.4156795,2000-01-01 01:15:00
4,-6.8882465,-4.952095,-5.0931044,-6.339933,-4.842952,-4.2527356,2000-01-01 01:20:00
5,-6.364316,-7.312644,-5.145779,-6.046941,-6.247425,-4.2846866,2000-01-01 01:25:00
6,-7.9607635,-9.828091,-8.510754,-6.5807905,-7.148612,-6.6464214,2000-01-01 01:30:00
7,-7.700842,-7.370308,-9.076189,-7.592741,-8.631836,-8.29761,2000-01-01 01:35:00
8,-7.444934,-6.7109365,-9.770719,-7.9334345,-9.466295,-8.542542,2000-01-01 01:40:00
9,-8.354157,-6.608547,-10.04793,-7.562483,-7.3618183,-7.8788404,2000-01-01 01:45:00
10,-7.1317015,-6.8744154,-9.123228,-6.8670244,-7.455326,-7.8995323,2000-01-01 01:50:00
11,-7.776532,-6.8325725,-9.508225,-6.4478927,-7.2782,-7.792948,2000-01-01 01:55:00
12,-5.8342447,-5.5180445,-9.379221,-5.931258,-8.259173,-8.009677,2000-01-01 02:00:00
13,-6.1228437,-5.5776653,-7.7442007,-6.7089543,-7.637887,-9.760893,2000-01-01 02:05:00
14,-6.961132,-5.229439,-7.683923,-6.689199,-7.236701,-9.565409,2000-01-01 02:10:00
15,-6.5228167,-5.3082714,-7.251477,-6.3104477,-7.230918,-12.410324,2000-01-01 02:15:00
16,-7.2453446,-5.3273535,-7.5706153,-5.8018484,-7.793954,-8.545915,2000-01-01 02:20:00
17,-6.906251,-5.248889,-8.231972,-5.4231215,-6.9161215,-9.484394,2000-01-01 02:25:00
18,-6.6623297,-5.4738965,-8.85107,-5.5932817,-7.4858932,-8.101709,2000-01-01 02:30:00
19,-6.006576,-5.5648212,-7.3472624,-5.4012265,-6.8557434,-7.8601713,2000-01-01 02:35:00
20,-6.753919,-5.4140487,-7.2557335,-5.5572433,-6.4037066,-10.059997,2000-01-01 02:40:00
21,-6.440506,-5.1976967,-7.628541,-5.9138837,-6.9819098,-8.888269,2000-01-01 02:45:00
22,-6.5968146,-4.53508,-7.130487,-6.583114,-6.5796843,-8.896381,2000-01-01 02:50:00
23,-6.9992743,-4.08939,-7.3663707,-5.7757998,-6.162032,-7.924164,2000-01-01 02:55:00
24,-5.9106855,-4.864417,-7.679876,-6.081441,-6.8629055,-10.054143,2000-01-01 03:00:00
25,-7.194187,-5.0044703,-7.9342995,-6.015544,-7.8758698,-11.687372,2000-01-01 03:05:00
26,-8.783352,-4.7289467,-7.5269856,-6.015984,-9.064945,-10.797173,2000-01-01 03:10:00
27,-8.72543,-4.2343793,-6.8864336,-5.991716,-9.217541,-10.444152,2000-01-01 03:15:00
28,-8.172131,-4.5019193,-7.080529,-6.000722,-9.506137,-10.745499,2000-01-01 03:20:00
29,-7.4003954,-3.9085684,-7.2706585,-5.7268524,-11.408525,-9.702379,2000-01-01 03:25:00
30,-7.6928577,-3.6936164,-6.5762215,-5.885112,-12.422059,-11.791431,2000-01-01 03:30:00
31,-7.2945786,-3.6306162,-7.5551023,-5.7998257,-14.303291,-10.743122,2000-01-01 03:35:00
32,-7.5378065,-3.5217216,-8.213198,-7.16485,-13.649605,-9.664859,2000-01-01 03:40:00
33,-7.5990896,-4.020632,-8.025784,-6.1102495,-10.899683,-10.014753,2000-01-01 03:45:00
34,-7.3298492,-3.4001365,-8.763685,-6.4678984,-9.025309,-9.938725,2000-01-01 03:50:00
35,-6.913352,-3.6662178,-7.4676313,-7.424349,-9.499525,-9.714181,2000-01-01 03:55:00
36,-6.83937,-3.7835588,-7.5265055,-6.459978,-10.430492,-11.737879,2000-01-01 04:00:00
37,-7.6791835,-3.3799753,-7.342863,-7.3709946,-9.8438015,-11.701935,2000-01-01 04:05:00
38,-7.481077,-3.6261084,-6.954006,-8.127903,-10.26109,-11.131984,2000-01-01 04:10:00
39,-8.432592,-3.217217,-7.046569,-8.66707,-9.251619,-11.801029,2000-01-01 04:15:00
40,-7.6727724,-3.3496704,-8.326304,-8.702984,-9.591977,-10.57163,2000-01-01 04:20:00
41,-7.912298,-3.971013,-8.9463215,-10.760197,-9.975222,-10.882597,2000-01-01 04:25:00
42,-7.932655,-3.537529,-6.5905247,-7.9126205,-9.637262,-9.107388,2000-01-01 04:30:00
43,-7.1690044,-3.6280131,-7.100651,-8.751789,-9.281682,-9.289889,2000-01-01 04:35:00
44,-7.9139376,-3.5132632,-6.9077454,-8.586699,-9.634372,-9.562139,2000-01-01 04:40:00
45,-7.8560567,-3.9820914,-7.192256,-9.557127,-10.841463,-9.246578,2000-01-01 04:45:00
46,-8.0266695,-4.023387,-6.666773,-9.060238,-10.189122,-9.492344,2000-01-01 04:50:00
47,-8.373877,-3.8955412,-6.3388987,-8.946498,-9.464218,-8.7734375,2000-01-01 04:55:00
48,-7.939,-3.8774452,-7.141033,-10.979885,-9.2102,-8.930552,2000-01-01 05:00:00
