,value,component,exp,Time
0,0.0,x-mom,real,2000-01-01 05:00:00
1,0.014010108076035976,x-mom,real,2000-01-01 05:00:00
2,0.13168512284755707,x-mom,real,2000-01-01 05:00:00
3,0.01166502945125103,x-mom,real,2000-01-01 05:00:00
4,13.503705024719238,x-mom,real,2000-01-01 05:00:00
5,87.54634094238281,x-mom,real,2000-01-01 05:00:00
6,279.1992492675781,x-mom,real,2000-01-01 05:00:00
7,-3.895352840423584,x-mom,real,2000-01-01 05:00:00
8,447.98876953125,x-mom,real,2000-01-01 05:00:00
9,-78.75439453125,x-mom,real,2000-01-01 05:00:00
10,256.88543701171875,x-mom,real,2000-01-01 05:00:00
11,364.23150634765625,x-mom,real,2000-01-01 05:00:00
12,-144.0518798828125,x-mom,real,2000-01-01 05:00:00
13,-373.2016906738281,x-mom,real,2000-01-01 05:00:00
14,-327.6322326660156,x-mom,real,2000-01-01 05:00:00
15,-305.998291015625,x-mom,real,2000-01-01 05:00:00
16,-450.6395568847656,x-mom,real,2000-01-01 05:00:00
17,-248.0303955078125,x-mom,real,2000-01-01 05:00:00
18,12.502805709838867,x-mom,real,2000-01-01 05:00:00
19,146.93739318847656,x-mom,real,2000-01-01 05:00:00
20,269.4636535644531,x-mom,real,2000-01-01 05:00:00
21,168.47286987304688,x-mom,real,2000-01-01 05:00:00
22,-65.1103744506836,x-mom,real,2000-01-01 05:00:00
23,-194.60299682617188,x-mom,real,2000-01-01 05:00:00
24,93.92220306396484,x-mom,real,2000-01-01 05:00:00
25,243.35946655273438,x-mom,real,2000-01-01 05:00:00
26,58.8853759765625,x-mom,real,2000-01-01 05:00:00
27,-229.4561004638672,x-mom,real,2000-01-01 05:00:00
28,228.9937744140625,x-mom,real,2000-01-01 05:00:00
29,637.2879638671875,x-mom,real,2000-01-01 05:00:00
30,482.7405700683594,x-mom,real,2000-01-01 05:00:00
31,409.8495178222656,x-mom,real,2000-01-01 05:00:00
32,337.2672119140625,x-mom,real,2000-01-01 05:00:00
33,405.40447998046875,x-mom,real,2000-01-01 05:00:00
34,-125.72952270507812,x-mom,real,2000-01-01 05:00:00
35,-484.6551818847656,x-mom,real,2000-01-01 05:00:00
36,-814.669189453125,x-mom,real,2000-01-01 05:00:00
37,-504.1896667480469,x-mom,real,2000-01-01 05:00:00
38,-102.05663299560547,x-mom,real,2000-01-01 05:00:00
39,122.55321502685547,x-mom,real,2000-01-01 05:00:00
40,-314.7333679199219,x-mom,real,2000-01-01 05:00:00
41,202.97201538085938,x-mom,real,2000-01-01 05:00:00
42,649.421875,x-mom,real,2000-01-01 05:00:00
43,328.8516540527344,x-mom,real,2000-01-01 05:00:00
44,26.895544052124023,x-mom,real,2000-01-01 05:00:00
45,-37.35991668701172,x-mom,real,2000-01-01 05:00:00
46,-214.7783966064453,x-mom,real,2000-01-01 05:00:00
47,-354.5118103027344,x-mom,real,2000-01-01 05:00:00
48,259.66082763671875,x-mom,real,2000-01-01 05:00:00
0,0.0,y-mom,real,2000-01-01 05:00:00
1,0.0068997228518128395,y-mom,real,2000-01-01 05:00:00
2,0.018934253603219986,y-mom,real,2000-01-01 05:00:00
3,0.014829053543508053,y-mom,real,2000-01-01 05:00:00
4,-0.033295657485723495,y-mom,real,2000-01-01 05:00:00
5,0.9164683818817139,y-mom,real,2000-01-01 05:00:00
6,5.934802055358887,y-mom,real,2000-01-01 05:00:00
7,6.063841819763184,y-mom,real,2000-01-01 05:00:00
8,0.4538653790950775,y-mom,real,2000-01-01 05:00:00
9,-1.696657419204712,y-mom,real,2000-01-01 05:00:00
10,-3.2461612224578857,y-mom,real,2000-01-01 05:00:00
11,-3.1847176551818848,y-mom,real,2000-01-01 05:00:00
12,0.24391162395477295,y-mom,real,2000-01-01 05:00:00
13,9.171960830688477,y-mom,real,2000-01-01 05:00:00
14,-8.915445327758789,y-mom,real,2000-01-01 05:00:00
15,-4.797234535217285,y-mom,real,2000-01-01 05:00:00
16,-5.137371063232422,y-mom,real,2000-01-01 05:00:00
17,3.4909889698028564,y-mom,real,2000-01-01 05:00:00
18,42.11038589477539,y-mom,real,2000-01-01 05:00:00
19,-9.7592191696167,y-mom,real,2000-01-01 05:00:00
20,-28.484086990356445,y-mom,real,2000-01-01 05:00:00
21,-1.2519525289535522,y-mom,real,2000-01-01 05:00:00
22,23.8830623626709,y-mom,real,2000-01-01 05:00:00
23,-19.266847610473633,y-mom,real,2000-01-01 05:00:00
24,-25.32615089416504,y-mom,real,2000-01-01 05:00:00
25,15.022411346435547,y-mom,real,2000-01-01 05:00:00
26,24.260337829589844,y-mom,real,2000-01-01 05:00:00
27,27.956192016601562,y-mom,real,2000-01-01 05:00:00
28,-26.21091079711914,y-mom,real,2000-01-01 05:00:00
29,-60.435890197753906,y-mom,real,2000-01-01 05:00:00
30,-23.919221878051758,y-mom,real,2000-01-01 05:00:00
31,-11.3827543258667,y-mom,real,2000-01-01 05:00:00
32,-16.481611251831055,y-mom,real,2000-01-01 05:00:00
33,-9.49710750579834,y-mom,real,2000-01-01 05:00:00
34,41.86724853515625,y-mom,real,2000-01-01 05:00:00
35,45.88666534423828,y-mom,real,2000-01-01 05:00:00
36,29.025264739990234,y-mom,real,2000-01-01 05:00:00
37,10.147851943969727,y-mom,real,2000-01-01 05:00:00
38,-28.683866500854492,y-mom,real,2000-01-01 05:00:00
39,45.99945068359375,y-mom,real,2000-01-01 05:00:00
40,18.834897994995117,y-mom,real,2000-01-01 05:00:00
41,28.805526733398438,y-mom,real,2000-01-01 05:00:00
42,134.2889404296875,y-mom,real,2000-01-01 05:00:00
43,41.041236877441406,y-mom,real,2000-01-01 05:00:00
44,20.632368087768555,y-mom,real,2000-01-01 05:00:00
45,-3.519500732421875,y-mom,real,2000-01-01 05:00:00
46,35.493690490722656,y-mom,real,2000-01-01 05:00:00
47,-59.07670593261719,y-mom,real,2000-01-01 05:00:00
48,-10.771530151367188,y-mom,real,2000-01-01 05:00:00
0,34.77954410601266,z-mom,real,2000-01-01 05:00:00
1,-233.24212816455696,z-mom,real,2000-01-01 05:00:00
2,-263.7723101265823,z-mom,real,2000-01-01 05:00:00
3,329.3839398734177,z-mom,real,2000-01-01 05:00:00
4,66.18802412974684,z-mom,real,2000-01-01 05:00:00
5,635.9573575949368,z-mom,real,2000-01-01 05:00:00
6,377.8076740506329,z-mom,real,2000-01-01 05:00:00
7,4.39169551028481,z-mom,real,2000-01-01 05:00:00
8,439.4161392405063,z-mom,real,2000-01-01 05:00:00
9,215.41099683544303,z-mom,real,2000-01-01 05:00:00
10,205.87741297468355,z-mom,real,2000-01-01 05:00:00
11,246.82363528481014,z-mom,real,2000-01-01 05:00:00
12,154.5314082278481,z-mom,real,2000-01-01 05:00:00
13,376.1314082278481,z-mom,real,2000-01-01 05:00:00
