,real,stable,neutstab,logT,low_step,high_step,Times
0,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:00:00
1,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:05:00
2,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:10:00
3,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:15:00
4,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:20:00
5,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:25:00
6,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:30:00
7,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:35:00
8,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:40:00
9,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:45:00
10,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:50:00
11,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 01:55:00
12,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:00:00
13,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:05:00
14,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:10:00
15,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:15:00
16,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:20:00
17,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:25:00
18,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:30:00
19,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:35:00
20,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:40:00
21,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:45:00
22,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:50:00
23,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 02:55:00
24,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:00:00
25,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:05:00
26,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:10:00
27,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:15:00
28,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:20:00
29,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:25:00
30,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:30:00
31,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:35:00
32,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:40:00
33,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:45:00
34,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:50:00
35,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 03:55:00
36,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:00:00
37,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:05:00
38,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:10:00
39,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:15:00
40,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:20:00
41,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:25:00
42,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:30:00
43,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:35:00
44,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:40:00
45,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:45:00
46,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:50:00
47,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 04:55:00
48,0.0,0.0,0.0,0.0,0.0,0.0,2000-01-01 05:00:00
